"Type";"Title";"Group";"Publish Date";"Status";"Description";"pdf"
"ECC Decisions";"ECC/DEC/(21)03";"WGFM";"2021-11-05";"Active";"ECC Decision of 5 November 2021 on the withdrawal of ERC Decision (95)01 on the free circulation and use of certain radio equipment in CEPT member countries";"http://docdb.cept.org/download/3529"
"ECC Decisions";"ECC/DEC/(21)02";"SRDMG";"2021-11-05";"Active";"ECC Decision of 5 November 2021 on the harmonised frequency band 76-77 GHz, technical characteristics, exemption from individual licensing and free circulation and use of High Definition Ground Based Synthetic Aperture Radar (HD-GBSAR)";"http://docdb.cept.org/download/3527"
"ECC Decisions";"ECC/DEC/(21)01";"FM44";"2021-11-05";"Active";"ECC Decision of 5 November 2021 on the use of the bands 47.2-50.2 GHz and 50.4-52.4 GHz by the fixed-satellite service (Earth-to-space)";"http://docdb.cept.org/download/3522"
"ECC Decisions";"ECC/DEC/(20)02";"FM56";"2020-11-20";"Active";"ECC Decision of 20 November 2020 on harmonised use of the paired frequency bands 874.4-880.0 MHz and 919.4-925.0 MHz and of the unpaired frequency band 1900-1910 MHz for Railway Mobile Radio (RMR)";"http://docdb.cept.org/download/1446"
"ECC Decisions";"ECC/DEC/(20)01";"FM57";"2020-11-20";"Active";"ECC Decision of 20 November 2020 on the harmonised use of the frequency band 5945-6425 MHz for Wireless Access Systems including Radio Local Area Networks (WAS/RLAN)";"http://docdb.cept.org/download/1448"
"ECC Decisions";"ECC/DEC/(19)04";"FM44";"2021-05-28";"Active";"ECC Decision of 6 March 2020 on the harmonised use of spectrum, free circulation and use of earth stations on-board aircraft operating with GSO FSS networks and NGSO FSS systems in the frequency bands 12.75-13.25 GHz (Earth-to-space) and 10.7-12.75 GHz (space-to-Earth)

Editorial update 28 May 2021";"http://docdb.cept.org/download/3427"
"ECC Decisions";"ECC/DEC/(19)03";"FM58";"2019-03-08";"Active";"ECC Decision of 8 March 2019 on the harmonised usage of the channels of the radio regulations appendix 18 (transmitting frequencies in the vhf maritime mobile band)";"http://docdb.cept.org/download/1452"
"ECC Decisions";"ECC/DEC/(19)02";"WGFM";"2019-03-08";"Active";"ECC Decision of 8 March 2019 on Land mobile systems in the frequency ranges 68-87.5 MHz, 146-174 MHz, 406.1-410 MHz, 410-430 MHz, 440-450 MHz and 450-470 MHz ";"http://docdb.cept.org/download/1455"
"ECC Decisions";"ECC/DEC/(19)01";"FM54";"2019-03-08";"Active";"ECC Decision of 8 March 2019 on withdrawal of <a href=""https://www.ecodocdb.dk/document/431"">ECC Decision (11)04</a> on exemption from individual licensing of digital terminals of narrowband and wideband PMR/PAMR/PPDR systems and free circulation and use of digital terminals of narrowband and wideband PPDR systems operating in the 80 MHz, 160 MHz, 380-470 MHz and 800/900 MHz bands";"http://docdb.cept.org/download/1456"
"ECC Decisions";"ECC/DEC/(18)06";"ECC PT1";"2020-11-20";"Active";"ECC Decision of 6 July 2018 on the harmonised technical conditions for Mobile/Fixed Communications Networks (MFCN) in the band 24.25-27.5 GHz. 

Corrected on 26 October 2018 and amended on 20 November 2020.
";"http://docdb.cept.org/download/1459"
"ECC Decisions";"ECC/DEC/(18)05";"FM44";"2021-11-05";"Active";"ECC Decision of 6 July 2018 on the harmonised use, exemption from individual licensing and free circulation and use of Earth Stations In-Motion (ESIM) operating with NGSO FSS satellite systems in the frequency bands 10.7-12.75 GHz and 14.0-14.5 GHz  

latest updated 5 November 2021";"http://docdb.cept.org/download/3536"
"ECC Decisions";"ECC/DEC/(18)04";"FM44";"2018-07-06";"Active";"ECC Decision of 6 July 2018 on the harmonised use, exemption from individual licensing and free circulation and use of land based Earth Stations In-Motion (ESIM) operating with GSO FSS satellite systems in the frequency bands 10.7-12.75 GHz and 14.0-14.5 GHz";"http://docdb.cept.org/download/1464"
"ECC Decisions";"ECC/DEC/(18)03";"WGFM";"2018-07-06";"Active";"ECC Decision of 6 July 2018 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/695"">ERC Decision (01)08</a> on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for Movement Detection and Alert operating in the frequency band 2400 - 2483.5 MHz 
";"http://docdb.cept.org/download/1465"
"ECC Decisions";"ECC/DEC/(18)02";"WGFM";"2018-07-06";"Active";"ECC Decision of 6 July 2018 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/408"">ECC Decision (07)02</a> on availability of frequency bands between 3400-3800 MHz for the harmonised implementation of Broadband Wireless Access systems (BWA)";"http://docdb.cept.org/download/1468"
"ECC Decisions";"ECC/DEC/(18)01";"WGFM";"2018-07-06";"Active";"ECC Decision of 6 July 2018 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/445"">ECC Decision (15)02</a> on ‘The harmonised use of broadband Direct Air-to-Ground Communications (DA2GC) systems in the frequency band 1900-1920 MHz’
";"http://docdb.cept.org/download/1469"
"ECC Decisions";"ECC/DEC/(17)06";"ECC PT1";"2017-11-17";"Active";"ECC Decision of 17 November 2017 on the harmonised use of the frequency bands 1427-1452 MHz and 1492-1518 MHz for Mobile/Fixed Communications Networks Supplemental Downlink (MFCN SDL)
";"http://docdb.cept.org/download/1471"
"ECC Decisions";"ECC/DEC/(17)05";"WGNaN";"2018-03-02";"Active";"ECC Decision of 2 March 2018 on the harmonised prefixes and short codes in national numbering plans  ";"http://docdb.cept.org/download/1473"
"ECC Decisions";"ECC/DEC/(17)04";"FM44";"2021-11-05";"Active";"ECC Decision of 30 June 2017 on the harmonised use and exemption from individual licensing of fixed earth stations operating with NGSO FSS satellite systems in the frequency bands 10.70-12.75 GHz and 14.00-14.50 GHz.

Amended on 8 March 2019, and updated on 2 July 2021, amended 5 November 2021";"http://docdb.cept.org/download/3519"
"ECC Decisions";"ECC/DEC/(17)03";"FM44";"2017-06-30";"Active";"ECC Decision of 30 June 2017 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/767""> ERC/DEC/(98)15</a> “Exemption from Individual Licensing of Omnitracs terminals for the Euteltracs system”";"http://docdb.cept.org/download/1478"
"ECC Decisions";"ECC/DEC/(17)02";"WGFM";"2017-03-03";"Active";"ECC Decision of 3 March 2017 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/549""> ECTRA Decision ECTRA/DEC/(97)02 </a> on harmonisation of authorisation conditions and co-ordination of procedures in the field of Satellite Personal Communications Services (S-PCS) in Europe, operating within the bands 1610-1626.5 MHz, 2483.5-2500 MHz, 1980-2010 MHz and 2170-2200 MHz

";"http://docdb.cept.org/download/1480"
"ECC Decisions";"ECC/DEC/(17)01";"WGFM";"2017-03-03";"Active";"ECC Decision (17)01 of 3 March 2017 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/353"">ECC Decision (01)01</a> on phasing out analogue CT1 and CT1+ applications in the 900 MHz band and <a href=""https://www.ecodocdb.dk/document/354"">ECC Decision (01)02</a> on phasing out digital CT2 applications in the 900 MHz band ";"http://docdb.cept.org/download/1482"
"ECC Decisions";"ECC/DEC/(16)03";"WGFM";"2016-11-18";"Active";"ECC Decision of 18 November 2016 on the withdrawal of  <a href=""https://www.ecodocdb.dk/document/799"">ERC/DEC/(99)17</a> on the universal shipborne automatic identification system (AIS) channels in the maritime vhf band
";"http://docdb.cept.org/download/1484"
"ECC Decisions";"ECC/DEC/(16)02";"WGFM";"2019-03-08";"Active";"ECC Decision of 17 June 2016 on harmonised technical conditions and frequency bands for the implementation of Broadband Public Protection and Disaster Relief (BB-PPDR) systems.

Amended on 8 March 2019. ";"http://docdb.cept.org/download/1486"
"ECC Decisions";"ECC/DEC/(16)01";"SRDMG";"2016-11-18";"Active";"ECC Decision of 4 March 2016 on the harmonised frequency band 76-77 GHz, technical characteristics, exemption from individual licensing and free carriage and use of obstacle detection radars for rotorcraft use.

Corrected on 18 November 2016.";"http://docdb.cept.org/download/1488"
"ECC Decisions";"ECC/DEC/(15)05";"SRDMG";"2018-03-02";"Active";"ECC Decision of 3 July 2015 on the harmonised frequency range 446.0-446.2 MHz, technical characteristics, exemption from individual licensing and free carriage and use of analogue and digital PMR 446 applications.

Amended on 2 March 2018. ";"http://docdb.cept.org/download/1491"
"ECC Decisions";"ECC/DEC/(15)04";"FM44";"2020-11-20";"Active";"ECC Decision of 3 July 2015 on the harmonised use, free circulation and exemption from individual licensing of Land, Maritime and Aeronautical Earth Stations On Mobile Platforms (ESOMPs) operating with NGSO FSS satellite systems in the frequency ranges 17.3-20.2 GHz, 27.5-29.1 GHz and 29.5-30.0 GHz. 

Amended on 8 March 2019 and amended on 20 November 2020.
";"http://docdb.cept.org/download/1496"
"ECC Decisions";"ECC/DEC/(15)03";"WGFM";"2015-07-03";"Active";"ECC Decision of 3 July 2015 on the harmonised use of broadband Direct Air-to-Ground Communications (DA2GC) systems in the frequency band 5855-5875 MHz";"http://docdb.cept.org/download/1498"
"ECC Decisions";"ECC/DEC/(15)02";"WGFM";"2015-07-03";"Withdrawn";"ECC Decision of 3 July 2015 on the harmonised use of broadband Direct Air-to-Ground Communications (DA2GC) systems in the frequency band 1900-1920 MHz";"http://docdb.cept.org/download/1500"
"ECC Decisions";"ECC/DEC/(15)01";"ECC PT1";"2015-03-06";"Active";"ECC Decision of 6 March 2015 on Harmonised technical conditions for mobile/fixed communications networks (MFCN) in the band 694-790 MHz including a paired frequency arrangement (Frequency Division Duplex 2x30 MHz) and an optional unpaired frequency arrangement (Supplemental Downlink)";"http://docdb.cept.org/download/1502"
