"Harmonised Standard";"link";"Low frequency";"High frequency";"Unit";"Application Term"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"154.0";"156.4875";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"156.4875";"156.5125";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"156.5125";"156.5375";"MHz";"DSC ← GMDSS ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"156.5375";"156.5625";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"156.5625";"156.7625";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"156.8375";"157.1875";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"157.1875";"157.3375";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"157.3375";"161.7875";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"161.7875";"161.9375";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"161.9375";"161.9625";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"161.9625";"161.9875";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"161.9875";"162.0125";"MHz";"Maritime communications ← Maritime"
"EN 301 025";"http://www.etsi.org/deliver/etsi_en/301000_301099/301025/02.02.01_60/en_301025v020201p.pdf";"162.0125";"162.0375";"MHz";"Maritime communications ← Maritime"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"10.7";"10.95";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"10.7";"10.95";"GHz";"HEST ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"10.7";"10.95";"GHz";"LEST ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"12.5";"12.75";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"12.5";"12.75";"GHz";"HEST ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"12.5";"12.75";"GHz";"LEST ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"14.0";"14.25";"GHz";"HEST ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"14.0";"14.25";"GHz";"LEST ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"14.0";"14.25";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"14.25";"14.3";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"14.3";"14.4";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"14.4";"14.47";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 428";"http://www.etsi.org/deliver/etsi_en/301400_301499/301428/02.01.02_60/en_301428v020102p.pdf";"14.47";"14.5";"GHz";"VSAT ← FSS Earth stations ← Satellite systems (civil)"
"EN 301 427";"http://www.etsi.org/deliver/etsi_en/301400_301499/301427/02.01.01_60/en_301427v020101p.pdf";"10.7";"10.95";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 301 427";"http://www.etsi.org/deliver/etsi_en/301400_301499/301427/02.01.01_60/en_301427v020101p.pdf";"12.5";"12.75";"GHz";"FSS Earth stations ← Satellite systems (civil)"
"EN 301 427";"http://www.etsi.org/deliver/etsi_en/301400_301499/301427/02.01.01_60/en_301427v020101p.pdf";"14.0";"14.25";"GHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 427";"http://www.etsi.org/deliver/etsi_en/301400_301499/301427/02.01.01_60/en_301427v020101p.pdf";"14.25";"14.3";"GHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 427";"http://www.etsi.org/deliver/etsi_en/301400_301499/301427/02.01.01_60/en_301427v020101p.pdf";"14.3";"14.4";"GHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 427";"http://www.etsi.org/deliver/etsi_en/301400_301499/301427/02.01.01_60/en_301427v020101p.pdf";"14.4";"14.47";"GHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 427";"http://www.etsi.org/deliver/etsi_en/301400_301499/301427/02.01.01_60/en_301427v020101p.pdf";"14.47";"14.5";"GHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 426";"http://www.etsi.org/deliver/etsi_en/301400_301499/301426/02.01.02_60/en_301426v020102p.pdf";"1525.0";"1530.0";"MHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 426";"http://www.etsi.org/deliver/etsi_en/301400_301499/301426/02.01.02_60/en_301426v020102p.pdf";"1530.0";"1535.0";"MHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 426";"http://www.etsi.org/deliver/etsi_en/301400_301499/301426/02.01.02_60/en_301426v020102p.pdf";"1535.0";"1559.0";"MHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 426";"http://www.etsi.org/deliver/etsi_en/301400_301499/301426/02.01.02_60/en_301426v020102p.pdf";"1613.8";"1621.35";"MHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 426";"http://www.etsi.org/deliver/etsi_en/301400_301499/301426/02.01.02_60/en_301426v020102p.pdf";"1621.35";"1626.5";"MHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 426";"http://www.etsi.org/deliver/etsi_en/301400_301499/301426/02.01.02_60/en_301426v020102p.pdf";"1626.5";"1660.0";"MHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 301 426";"http://www.etsi.org/deliver/etsi_en/301400_301499/301426/02.01.02_60/en_301426v020102p.pdf";"1660.0";"1660.5";"MHz";"MSS Earth stations ← Satellite systems (civil)"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"26350.0";"27500.0";"kHz";"Model control ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"26350.0";"27500.0";"kHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"30.01";"37.5";"MHz";"Model control ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"40.66";"40.7";"MHz";"Model control ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"40.66";"40.7";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"138.0";"143.6";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"169.4";"169.8125";"MHz";"Meter reading ← Tracking, tracing and data acquisition ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"169.4";"169.8125";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"433.05";"434.79";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"862.0";"870.0";"MHz";"Alarms ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"862.0";"870.0";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"870.0";"876.0";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 220";"https://www.etsi.org/deliver/etsi_en/300200_300299/30022002/03.02.01_60/en_30022002v030201p.pdf";"915.0";"921.0";"MHz";"Non-specific SRDs ← Short Range Devices"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"30.01";"37.5";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"37.5";"38.25";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"38.25";"39.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"39.0";"39.5";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"39.5";"39.986";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"39.986";"40.02";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"40.02";"40.66";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"40.7";"40.98";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"40.98";"41.015";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"41.015";"42.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"42.0";"42.5";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"42.5";"44.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"44.0";"47.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"47.0";"50.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"50.0";"52.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"52.0";"68.0";"MHz";"PMR ← PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"68.0";"70.45";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"70.45";"74.8";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"75.2";"87.5";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"146.0";"148.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"148.0";"149.9";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"149.9";"150.05";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"150.05";"153.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"153.0";"154.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"154.0";"156.4875";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"156.8375";"157.1875";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"157.1875";"157.3375";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"157.3375";"161.7875";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"161.7875";"161.9375";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"161.9375";"161.9625";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"162.0375";"169.4";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"169.8125";"174.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"406.1";"410.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"410.0";"420.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"420.0";"430.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"440.0";"450.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"450.0";"455.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"455.0";"456.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"456.0";"459.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"459.0";"460.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 341";"http://www.etsi.org/deliver/etsi_en/300300_300399/300341/02.01.01_60/en_300341v020101p.pdf";"460.0";"470.0";"MHz";"PMR/PAMR ← Land mobile"
"EN 300 066";"http://www.etsi.org/deliver/etsi_en/300001_300099/300066/01.03.01_60/en_300066v010301p.pdf";"406.0";"406.1";"MHz";"EPIRBs ← GMDSS ← Maritime"
"EN 302 195";"http://www.etsi.org/deliver/etsi_en/302100_302199/302195/02.01.01_60/en_302195v020101p.pdf";"9.0";"11.3";"kHz";"Active medical implants ← Short Range Devices"
"EN 302 195";"http://www.etsi.org/deliver/etsi_en/302100_302199/302195/02.01.01_60/en_302195v020101p.pdf";"11.3";"14.0";"kHz";"Active medical implants ← Short Range Devices"
"EN 302 195";"http://www.etsi.org/deliver/etsi_en/302100_302199/302195/02.01.01_60/en_302195v020101p.pdf";"14.0";"19.95";"kHz";"Active medical implants ← Short Range Devices"
"EN 302 195";"http://www.etsi.org/deliver/etsi_en/302100_302199/302195/02.01.01_60/en_302195v020101p.pdf";"19.95";"20.05";"kHz";"Active medical implants ← Short Range Devices"
"EN 302 195";"http://www.etsi.org/deliver/etsi_en/302100_302199/302195/02.01.01_60/en_302195v020101p.pdf";"20.05";"70.0";"kHz";"Active medical implants ← Short Range Devices"
